State,Item No,Amount
ID,00510,37
ND,00128,66
GA,02080,67
ME,00850,28
ME,00460,15
TX,02005,255
OH,00250,9
IN,00039,75
ID,00775,32
IA,00855,7
NC,VP941,4
PA,00383,32
IL,00080,133
TX,00940,547
UT,02400,8
AK,00115,39
MT,00725,5
OK,00254,16
PA,02041,38
AL,00045,59
NC,02060,15
WV,00375,3
IL,00625,56
UT,02070,12
SD,01003,93
UT,00073,224
FL,00375,81
SC,00995,10
NC,00080,105
MN,00012,224
RI,00882,6
BC,00494,45
NJ,00483,34
GA,00243,65
PA,00970,17
IN,00129,133
OR,02493,42
MD,00965,3
AL,00383,3
AR,00192,86
VT,00062,3
ON,02012,4
NV,00350,18
GA,02493,96
CO,02078,57
TN,00780,8
MA,00074,34
NM,02408,6
AK,00483,5
MN,00197,68
ND,00854,72
NC,00364,16
AZ,02012,22
ID,00740,7
NV,02435,13
MS,00062,84
AZ,01488,32
IA,00467,100
IA,00078,24
TX,00058,747
MA,00610,44
NY,00128,165
NH,02492,10
WI,00130,6
DE,00871,5
CA,00966,272
SD,02061,7
MA,00128,6
UT,00427,428
WI,00841,20
MO,00660,183
ID,00375,30
ID,00365,36
IN,00131,45
GA,00508,55
TN,01435,3
ME,02080,12
RI,00044,50
OK,00048,19
AL,00380,12
CA,00071,95
MO,00930,8
PA,00184,942
TN,02435,38
MT,00934,3
KY,00048,7
CO,00966,42
PA,00199,2007
GA,00780,73
MD,00625,27
OK,00014,16
NV,00855,11
OR,00018,64
MO,00940,105
MA,00843,14
CT,00880,13
HI,03090,4
MO,00840,65
WA,00735,11
WA,00195,45
CA,02062,106
OR,00048,125
AL,00078,43
NJ,00079,92
MN,00061,349
ND,01435,17
MI,00840,200
MT,02056,8
AZ,00210,33
NJ,00530,29
NM,00940,36
ID,00755,41
OH,00865,26
BC,00810,20
WV,02060,3
WY,00039,180
CO,00133,239
ND,02074,19
MS,00730,3
PA,00360,87
NH,00004,208
BC,00062,5
VA,00031,448
TN,00350,24
CO,00875,293
UT,02039,92
AR,00520,40
TX,02780,9
OH,00720,32
FL,02032,45
AK,00450,92
SD,00360,31
OH,00115,190
WV,00082,5
RI,00491,51
MD,00129,50
WI,00625,89
UT,02031,147
HI,00243,3
UT,00132,26
HI,00350,15
TN,00406,199
MT,01435,11
CA,00380,299
MO,00260,92
NC,02044,9
MD,00120,5
NY,00882,160
MA,00493,343
ID,00865,52
GA,02044,50
ID,00492,294
VA,00916,67
VT,00187,3
KS,00260,72
RI,00138,25
ID,00433,151
NV,00975,4
SC,00041,12
WV,00132,4
ME,00872,4
SD,00120,313
DE,00058,20
AZ,00022,121
NE,00427,47
NH,00406,58
WY,02001,18
WA,00115,242
SD,00074,185
WA,00720,42
NM,02003,14
VA,01488,16
AK,00192,5
IA,00075,57
MT,00260,91
VA,00002,131
VA,00017,263
WI,00129,552
MD,00630,28
SD,00128,326
AK,00875,54
VT,02056,4
NV,00017,67
NC,00964,10
RI,00074,76
IA,00482,7
MS,00408,146
KY,02492,5
MO,00019,174
NJ,02041,3
VT,00365,3
OR,00483,13
KY,00620,26
KS,02720,3
NC,02031,25
AZ,00080,159
IL,00270,49
UT,02041,8
MS,00467,47
MO,02024,3
CA,00004,4384
MD,00940,19
MS,00488,149
AR,00901,6
NJ,02003,71
MI,02074,8
RI,00210,22
SK,00630,3
NM,00488,212
OR,02075,22
MN,00483,79
OH,02060,18
AB,00140,3
AL,00100,106
MA,00930,5
WA,02032,26
LA,00200,70
TN,00077,5
CA,01003,219
SD,02491,28
NC,01488,83
CA,00297,6
NM,00720,23
RI,02004,35
MO,00071,8
LA,00070,4
VT,00404,22
AZ,00197,15
IA,00001,66
WV,00870,6
IL,00941,236
NJ,02102,96
CA,00406,1960
PA,00132,149
OR,02006,6
MT,00755,27
NV,00427,53
VT,00488,87
GA,00865,55
KY,00017,76
OH,00241,24
MN,00970,5
ND,00520,28
NV,00079,92
ND,00138,130
FL,00775,38
OR,00017,177
MS,00074,70
MA,00850,114
SD,00941,56
CT,00882,35
VA,09001,6
OH,02408,28
KY,00820,26
NC,00199,812
AB,00060,19
PA,00058,982
SD,00403,125
NM,00004,174
OR,02003,50
AR,00375,6
ND,00775,9
AR,00435,11
ND,01004,61
CO,00843,341
NM,00486,48
HI,00660,7
AR,02050,14
IA,02032,16
MN,02044,3
TN,00129,386
MT,00406,114
NM,00187,40
WA,00810,367
AZ,00486,306
FL,00850,1292
CO,02031,142
OH,02012,35
UT,02012,47
NJ,02408,55
MT,00108,5
IL,00017,219
GA,00940,487
ME,00403,18
MD,02072,9
TN,00062,170
MT,00134,8
OR,02005,14
TX,00014,771
TX,VP941,7
OH,00520,62
MT,00428,17
WI,00966,38
SC,00012,54
MD,00619,10
MD,00379,30
MA,00019,40
MD,00483,3
OR,02044,4
NC,00115,480
CA,00078,750
WI,00811,116
VT,00131,5
UT,00018,262
AK,00074,27
MT,00061,228
MO,00493,225
FL,00435,411
IL,00467,190
NH,00243,3
SD,02740,4
KS,00855,8
GA,00871,53
BC,00044,3
MN,00187,315
NE,01435,12
MA,00845,7
FL,09001,22
ND,00032,127
FL,02039,71
IL,00491,506
GA,00880,552
ID,00298,31
OR,02491,56
AR,02488,14
MI,00875,471
UT,01102,101
NH,00180,4
CO,00014,286
MI,00467,584
IN,00855,13
NE,00123,25
NE,00120,117
ON,00140,6
PA,09019,6
VA,00845,9
MB,00061,16
GA,02492,167
AZ,00380,18
DE,00188,5
AR,00845,33
CO,02481,13
TX,01102,41
AR,00943,57
FL,00821,17
NC,00617,23
IN,00044,27
NV,00630,63
WI,00843,239
TX,02481,14
NY,00074,272
NE,00197,29
FL,00022,350
LA,00073,7
AR,02032,10
IN,00134,14
WA,00379,115
SC,00200,68
FL,00402,203
FL,00114,72
MA,00520,22
AK,00990,7
MA,00126,21
ID,00995,7
ND,00934,5
WA,00294,8
AL,02102,30
BC,00450,8
IL,00400,6
CT,00493,104
AK,VP940,4
HI,01005,3
NV,00071,13
NY,00841,25
MI,00408,1174
NY,00520,141
FL,02001,50
NY,00188,122
MT,00616,20
VT,00003,84
TN,02050,20
NE,00241,7
OH,02070,13
KS,02486,3
MI,00882,280
TX,00006,446
GA,00925,18
IA,00943,59
WA,00630,186
UT,00079,120
IN,00241,37
NY,00843,152
AB,00494,13
AZ,00408,150
BC,00138,18
NJ,00002,190
MI,00195,172
NY,00617,35
MN,00050,83
ND,00080,82
PA,00250,40
LA,00031,109
AK,00530,5
PR,00039,4
OR,00200,40
AL,00006,34
NM,00405,17
ME,02061,10
ND,00270,13
KS,00840,5
ND,02491,8
NC,00930,17
HI,00880,38
MN,00460,42
IA,00140,101
SC,02080,33
IN,00840,20
HI,00360,7
KY,00004,148
CT,00129,46
CA,00073,694
ID,00254,61
UT,00380,46
NV,00134,59
MT,02005,9
OH,00039,824
UT,00995,22
AL,00845,5
FL,00254,65
NC,00061,145
ND,00427,80
MS,00080,47
MD,00130,4
NH,00100,10
NV,00243,11
MA,00916,4
ID,00014,238
NE,00022,54
WI,00760,13
GA,00061,368
TN,00134,17
MD,00123,3
MA,00002,28
FL,00865,99
AK,02080,3
CT,00630,12
FL,02050,27
MS,00270,11
TN,02486,10
SC,00843,80
IL,00074,53
CA,00056,1848
AZ,00990,9
SD,00990,14
PA,00871,132
NJ,00039,324
IA,00934,14
CO,02075,24
NC,00854,361
LA,00875,12
AR,00041,15
NE,00850,321
AK,00102,111
TX,00130,42
NY,00017,872
NY,00002,486
OH,00195,67
UT,02080,64
AR,02483,9
AZ,00018,112
CA,00079,519
VA,00044,38
NM,00851,18
UT,00433,1285
PA,00650,945
WI,00425,55
LA,02080,10
OR,00254,18
WA,00365,29
WY,00405,8
WA,00120,152
ND,00486,128
IL,00483,8
MN,00048,96
TX,00740,60
MT,00187,116
MI,00138,483
HI,00114,7
ME,00510,21
NY,00070,185
OH,00650,59
WI,00660,69
LA,02056,3
WI,00383,7
WY,00760,14
MT,02004,54
OK,00625,34
BC,00039,34
CT,00650,9
NV,00075,50
CO,02491,169
NV,01488,3
MA,00140,81
SD,02003,10
KS,02488,176
NV,00254,72
KS,00365,3
NH,00126,28
MO,00735,4
AK,00225,6
MA,02494,25
MA,00070,47
WA,00243,20
NY,02483,3
NY,02408,119
VA,02494,18
HI,00530,10
AZ,00108,15
MI,00243,116
MI,02060,14
BC,00820,5
CA,03090,107
WI,00012,212
AL,00880,77
NE,00017,87
MO,02031,25
MN,02078,33
MN,00493,807
NH,00697,13
CO,00254,108
NY,00650,206
WV,00024,4
PA,DP803,5
NC,00875,325
VA,02003,86
MA,00210,16
AZ,00965,20
BC,00745,9
NJ,00460,85
RI,00941,3
WA,00486,169
ME,02044,28
OH,00925,5
MN,00450,380
FL,00871,58
NM,00483,24
WA,00126,102
TN,01005,3
UT,02775,7
SD,00187,245
KS,00483,4
KY,00785,3
NV,00082,49
UT,00942,117
WI,00270,85
NM,00843,46
AR,00820,12
ID,00350,40
AL,00180,49
NH,00060,32
MT,00077,12
OH,00022,213
NV,00225,13
CT,00018,11
VA,00210,145
OK,02492,21
IL,02004,136
IL,00126,88
MO,00126,143
OH,00660,36
CT,00022,46
UT,00243,199
TN,00375,4
MI,02740,4
AZ,00111,75
MS,00031,108
AK,00942,39
CO,00200,216
IN,00031,99
GA,00488,1038
NM,00031,142
WA,02004,284
GA,00875,337
QC,00966,4
TN,00610,7
AZ,00930,8
KY,00128,18
NV,02488,53
AL,00820,50
BC,00126,5
AK,00018,95
MN,00102,1124
FL,00494,1808
SD,00854,229
PA,00380,101
CA,00114,404
NM,00017,78
NM,00002,45
WY,02486,10
CO,00482,91
CO,02785,6
TN,00966,116
OR,00188,117
BC,00254,15
MI,00820,397
NV,02102,50
UT,00155,321
NY,00061,725
CO,00140,433
LA,02003,34
BC,00616,16
UT,00184,266
NV,00460,41
OR,00180,35
PA,02481,10
OK,00406,5
IL,00012,185
MO,02012,4
KY,00024,22
ID,00004,421
VA,00617,8
AR,02074,4
IA,00625,24
LA,00460,3
ME,00940,22
AL,00750,3
WA,02012,29
MI,02012,23
DE,00404,4
CO,00402,113
NC,00024,66
ME,00012,20
PA,00014,1083
WA,00854,402
SC,00617,15
FL,01004,46
WA,00940,305
AR,00494,108
MN,02006,33
PA,00492,960
FL,00062,460
WV,00017,15
HI,00492,34
VT,00493,39
WA,02077,10
NY,02080,33
SD,00210,37
MA,00617,4
NY,02070,18
IL,00210,40
SD,00940,55
AL,00883,28
ND,00840,79
NM,00115,54
NY,00851,165
BC,00380,19
NC,04000,49
OK,02078,12
NC,02408,10
MA,00022,25
ME,00854,44
WI,02483,5
SD,00725,9
VT,00467,3
MT,00006,99
IA,00260,124
ON,00940,41
ME,00427,21
WY,00129,185
CA,00855,161
AR,00941,53
AR,00930,5
CA,02730,8
OR,00134,3
VT,00610,6
MS,00192,15
HI,00380,4
OR,00620,8
IN,02491,11
ID,00406,138
CT,00995,4
AK,00508,4
PA,00039,2812
CO,02102,532
BC,02483,4
MT,00130,12
MI,00405,80
NM,00225,22
CO,00365,31
KS,00811,35
AR,02408,18
WY,00150,9
ON,00012,3
NJ,00990,18
MI,00006,234
BC,00530,26
TN,00620,22
MO,00350,31
MO,00360,23
AZ,00725,14
VA,02031,16
AZ,02050,17
RI,00019,243
PA,02745,4
KY,00854,24
PA,02078,29
BC,00613,21
OR,VP943,6
IN,00950,12
VA,00073,44
IN,00625,19
SD,00467,173
DE,00494,45
LA,00079,12
HI,00115,29
NM,02050,7
CO,00435,340
NM,02056,9
SC,00140,71
SC,02488,67
VA,00520,21
MD,00510,6
LA,02004,61
NJ,VP940,3
TX,00383,33
AZ,00427,126
NC,00821,38
FL,00196,8
BC,00966,19
FL,00082,408
NY,00005,830
MS,00880,3
NM,00270,21
VA,00380,20
IA,02005,6
NE,00881,3
OR,00184,95
ND,00260,108
MD,00613,33
SD,00242,4
VA,00056,212
IA,00254,43
UT,09120,505
NM,00111,25
NJ,00405,40
WA,00074,85
TN,00184,60
OH,00019,59
LA,00433,16
AK,02408,16
SC,00075,71
WY,00080,44
NC,00002,58
PA,02435,104
AL,00018,37
PR,00460,4
VA,02024,3
SC,00050,21
BC,00625,6
IN,00115,78
AR,02024,4
ND,00001,66
MI,00077,40
VT,00840,3
CT,00488,127
OK,02102,5
IA,00072,6
SD,00610,77
MO,00510,20
HI,02492,4
NM,00650,143
MO,00115,260
KS,00610,12
ND,02005,5
NY,00041,146
CA,00402,457
VA,00082,120
NY,04000,65
PA,00942,901
NV,00865,88
TN,00002,81
MA,00811,3
CO,02725,6
CT,00245,12
MA,00006,37
MN,00765,24
NJ,00735,14
IL,00188,53
PA,00494,965
NE,00730,9
MI,02481,11
MN,00129,514
WV,00854,17
ID,00210,126
CA,00365,83
NH,00820,9
ND,00075,20
VT,00942,6
MO,00520,22
OH,00245,183
MA,00492,280
MA,00435,60
SC,00740,4
HI,00131,35
ID,02491,58
FL,00650,156
CO,00483,69
AR,00381,20
VT,00004,84
AK,00408,178
AZ,00530,17
NV,00467,76
MI,00132,43
ID,00427,124
NJ,00077,12
TN,00364,13
MS,00916,5
OR,00940,143
OH,02072,4
IN,00975,3
PR,00406,5
NY,00488,1406
FL,02003,413
SD,00619,23
AZ,00381,13
NH,00120,112
NV,00400,5
AZ,00745,10
AL,00200,22
MS,00002,18
AK,00510,8
KS,00619,5
NC,00620,32
AR,02060,13
KY,00187,20
NC,00460,71
NE,00508,5
NC,00871,45
TN,00851,104
AR,00078,23
SD,00380,18
ID,00074,55
IN,00619,7
CA,02004,985
ND,00045,40
WI,00697,208
OH,02483,4
IL,00070,112
MT,00883,17
NV,00488,346
MA,00400,31
AZ,00780,13
PA,00005,748
CA,00187,1082
MA,02039,4
NM,00140,51
KY,00080,8
IL,02078,9
KS,00058,59
NY,00871,113
TX,04000,150
VT,00970,4
ND,00225,18
HI,00494,51
IL,00380,10
WI,00365,18
KY,00270,4
ME,00433,20
MN,00111,68
NJ,00482,27
NV,00260,78
MD,00014,20
NC,00760,11
NJ,00765,20
WY,00745,7
BC,00031,20
NM,00062,70
MN,00820,270
AZ,02483,6
ND,02102,13
WI,00530,22
NC,00494,200
IL,00260,231
SC,00965,11
LA,00058,24
NC,00075,64
UT,02022,8
AR,02482,7
OH,00078,125
TN,00843,60
OR,00044,109
AZ,00130,24
FL,00250,15
NH,00044,15
PA,00270,328
VA,00134,8
OH,00871,18
OK,00617,4
SC,00494,106
NY,02494,120
TX,00460,291
HI,02491,3
KS,02003,159
MS,02060,8
ON,00811,9
PA,02491,279
AZ,00004,410
WV,00195,6
PA,02765,3
VA,00062,99
MT,00845,13
ND,02075,3
NM,00188,17
BC,00080,3
OK,00488,121
AR,00002,15
AK,00850,144
WV,00840,6
CT,00200,50
AZ,02486,65
OR,09001,3
ND,00995,14
PA,02400,4
VA,02056,15
MS,00755,3
WI,00140,182
KY,00138,28
NM,00760,21
OH,00061,136
SD,00617,4
FL,00488,1481
VA,00510,10
FL,00360,89
SD,00780,16
CO,00018,199
ND,00041,59
SC,00150,16
AR,00070,28
CA,00625,480
NM,00073,26
UT,00855,50
KS,00073,16
AK,00620,4
NY,00408,1789
NE,00740,16
WA,00402,39
WA,00508,162
LA,02491,24
LA,00270,15
MN,00380,55
KY,00129,27
ND,00760,43
NE,00491,66
NC,00493,241
AR,00491,65
PA,00872,398
CO,00486,253
UT,01004,362
MT,00872,52
SC,02482,19
OH,00620,8
NJ,00650,137
UT,00425,109
TN,00041,44
MT,00843,32
PR,00530,15
MT,00379,59
QL,00004,3
IL,00617,17
WY,00134,8
AL,00494,181
PA,00483,193
AZ,00406,304
VA,00360,22
OR,00130,13
GA,00493,649
PA,04100,54
FL,00260,742
WA,00045,288
SC,02022,91
SC,00940,45
MI,00200,686
AZ,02006,5
MA,00364,5
GA,00024,169
OH,00402,54
CO,00870,116
NY,00880,192
NC,00488,537
NV,00111,19
WI,09001,13
MO,00865,73
ME,00070,8
SC,00811,94
MA,02491,49
NH,00404,18
NM,00079,24
KS,00050,22
IL,00660,26
KS,00467,69
IN,00056,32
OR,00195,63
ME,00200,3
GA,00138,510
LA,00510,8
SC,00197,9
PA,02740,4
LA,00001,3
SD,00140,125
CT,00435,37
FL,02005,72
PA,00403,1084
CT,00050,37
ND,02080,42
ND,04000,55
ON,00379,3
SC,00111,13
OR,00811,35
MS,00082,77
AZ,00101,94
FL,00481,56
BC,00406,24
MT,01102,4
KY,00530,11
CA,00785,194
UT,00014,385
NJ,00245,36
WI,00482,51
WY,00697,99
GA,00494,697
MI,02102,420
MT,00625,61
CT,00298,23
PA,00467,2183
CO,02056,89
BC,00730,5
NC,02062,5
MT,00493,195
NM,00492,79
TX,00616,306
MS,00725,6
IL,00019,45
CT,00196,5
WV,00014,27
ND,00871,16
CT,00467,28
WY,00188,41
DE,00433,4
GA,00481,51
CT,00012,81
BC,02755,3
MO,00435,151
NE,00882,50
SC,00001,59
WI,00508,25
MN,00058,167
SC,00941,48
LA,00406,19
NY,00048,112
NM,00435,51
ND,00102,56
TN,00074,87
MN,00120,132
NM,00840,30
NC,00481,15
CA,02022,33
NV,00901,4
ID,00111,30
KY,00058,6
CO,02720,7
MI,00765,37
WI,00433,510
MN,02061,22
LA,02494,14
IA,02493,45
MI,00360,48
ME,00131,45
IA,00061,171
AR,00048,21
ND,00650,128
MA,00073,41
IN,00811,33
TX,00375,77
OH,00765,55
MD,00060,39
NE,02435,49
ID,VP940,5
AL,00488,175
SD,00060,212
OR,01004,48
AR,00483,35
DE,00530,4
FL,00041,86
AB,00031,4
WI,00755,3
FL,02070,46
ID,00041,52
WV,02032,8
GA,02075,25
MT,00360,10
NY,00481,126
NM,00820,28
CT,00810,24
AZ,00078,121
AZ,01435,17
UT,00101,157
KS,00060,82
IL,02492,60
VA,00242,3
IL,00845,7
NM,00078,37
NV,00872,28
TN,00854,193
OR,00901,6
AR,02785,3
ID,00187,60
NE,00901,5
PA,00115,980
OH,00510,72
IA,00881,35
MD,00243,12
MS,00180,217
NY,00770,24
ME,00435,16
OH,00613,412
NC,00062,143
MO,00133,151
SC,00486,21
VA,00075,45
NE,00072,29
MI,00435,672
UT,00851,341
KS,00620,6
BC,00379,20
MT,00120,23
MA,00056,98
KS,00024,18
NE,00101,16
UT,DP802,903
ND,00298,13
NC,00131,272
AR,00075,24
VA,00403,106
MN,00003,720
WA,00375,21
RI,00697,240
VA,01005,4
WV,00940,10
AR,00254,8
GA,00934,50
MT,00128,151
CA,00725,196
IL,00620,16
WY,00845,25
FL,02080,24
CA,02735,5
NY,00960,27
VA,00810,278
PA,00630,496
SD,00404,148
NE,00254,15
ND,00880,11
WA,02488,255
UT,00114,216
AL,00990,4
AL,02060,7
CO,00920,62
MS,00660,4
IL,00062,116
NE,00199,170
HI,00058,8
CO,00077,16
NE,02003,34
TN,00138,207
NM,00022,43
MS,00843,17
MI,00041,111
NE,00820,55
OK,00943,48
TX,00379,395
FL,00270,91
WI,00128,195
OR,02056,36
KS,00901,4
ND,00482,55
ID,00006,31
AZ,00851,179
TN,00402,23
BC,00243,8
VA,00493,341
NH,00129,114
OH,00131,159
NC,00225,17
MS,00155,4
MI,00916,254
GA,00225,17
PA,00242,17
IL,00041,7
ID,00943,157
GA,02005,122
IL,00132,4
WA,00916,13
WA,00760,19
PA,02022,26
ID,02077,4
NY,00381,21
CA,00467,1511
GA,00360,79
VT,00881,3
HI,00001,10
PA,00901,62
IL,02070,4
IL,00433,422
OR,01435,7
IL,00492,483
SC,00195,6
NE,00243,10
CO,01003,202
SD,00079,240
MA,00024,39
AL,02056,6
MN,02077,11
NY,02075,11
AZ,00056,198
SD,00056,172
GA,02491,150
IA,00039,194
TN,00775,6
CA,00943,1605
ON,00050,5
MD,00883,16
ND,00070,126
AR,00735,11
IA,00433,197
MD,00916,13
MI,02080,18
AB,00102,4
GA,00187,414
HI,00406,44
NV,00760,3
MD,00041,9
IA,00080,24
MD,00002,22
SD,01488,156
ND,00660,40
MO,00070,37
WY,00435,35
CA,00408,1326
MS,00184,22
AR,00132,29
KS,00101,10
RI,00082,53
UT,00770,42
AZ,00865,105
TX,00044,309
KS,00882,36
ND,02041,4
AZ,00854,314
MA,00697,272
GA,00650,236
OR,02492,55
SD,00131,72
KS,00070,17
IA,00930,20
WV,00101,35
IN,00195,14
WY,00079,19
ME,00050,24
WI,00188,152
KS,02005,3
AR,00003,56
WV,04000,8
IA,00901,4
CA,00750,224
AK,00660,4
WY,00123,28
NJ,00660,71
MT,00613,57
NV,00140,122
ID,00058,190
MA,00427,84
WV,00070,10
ON,00130,3
ME,00941,17
OH,00460,67
TX,00821,62
TX,02032,131
AK,00617,6
NY,00056,563
UT,00241,55
AK,00200,30
SD,00197,5
MI,00018,607
NM,00128,39
BC,01435,19
MD,02004,31
MD,00943,20
OH,02004,127
GA,02070,29
OH,02493,56
FL,00425,26
WI,00854,279
MI,00941,512
PR,00115,5
MI,00486,291
ID,00199,124
GA,01488,85
PR,00120,9
IN,00735,3
MS,00404,104
GA,00017,449
ND,00990,5
NH,00014,29
AZ,00941,232
ND,00843,36
AK,00210,8
ID,00225,50
WV,00881,12
FL,00140,618
SC,00467,36
ID,02102,31
ME,00610,48
ME,00530,11
WI,00488,672
OH,00074,90
CT,00872,14
VA,02039,8
TN,00880,99
FL,00050,404
VA,00435,77
ID,00650,30
MN,00730,14
AB,00697,6
MN,02494,175
OK,00140,46
FL,02102,324
NE,00364,10
RI,00403,62
OK,00050,10
CO,00132,7
SD,00483,54
WA,00975,3
MI,00810,614
GA,00250,11
TX,02070,37
WA,00041,58
IA,00150,19
AK,00427,106
MT,00425,27
ON,00433,12
SD,00530,53
KY,00012,8
PA,04000,121
AB,00138,9
DE,00060,3
SC,02039,115
UT,00780,34
WI,00770,6
OH,00920,8
CO,00433,632
IL,00494,408
MT,00775,20
NE,00129,451
WY,00941,39
NJ,00074,80
ND,00406,42
TX,00048,251
OK,00650,15
LA,00427,25
AL,02004,36
NV,00380,9
NJ,00022,81
IL,00058,159
KS,00870,84
IN,00005,12
IN,00870,17
TX,00770,59
SK,03090,3
TN,00425,19
IL,00865,56
NC,00840,103
CO,00770,39
MN,00241,8
AR,02004,22
LA,00435,23
CT,00843,34
MS,00855,34
TX,00196,13
UT,00402,233
CT,00510,12
CT,00481,3
NC,00128,252
NY,00990,58
HI,00883,13
PA,00131,654
NJ,00018,132
WA,00467,182
KS,00005,16
NM,02494,22
PA,00017,1745
WI,00720,47
MD,00770,6
NM,00150,6
FL,00298,56
GA,00630,187
ID,00460,56
OH,00126,82
AK,00031,106
NC,00102,132
AL,00039,42
OK,00486,6
AR,00405,49
GA,00350,122
WY,02024,7
NM,00881,8
AL,02031,9
MN,02491,88
BC,01003,4
TX,00865,526
PA,02082,82
MD,00467,48
ID,02060,4
MA,00031,254
AL,02488,39
AZ,00405,19
CA,00964,50
OR,00942,88
IA,00854,113
AZ,00616,49
AZ,00019,53
MA,02031,11
VT,00138,8
WA,00408,454
BC,00785,6
MA,00403,56
AR,00018,52
MD,00875,24
NM,02077,6
IN,00630,15
PA,00070,533
ID,00482,133
OH,00381,28
AZ,02077,7
CO,02780,3
WA,00488,665
OK,00079,60
FL,02481,4
VT,00613,8
FL,00079,243
MA,00530,3
OR,00486,53
KS,00625,15
NC,00775,9
NC,01004,72
MD,00493,59
MT,00225,15
VA,02012,6
VA,00022,74
IL,02082,3
MI,00625,327
OH,00990,23
NV,02031,24
SC,02750,21
AZ,00845,18
AK,00014,53
NY,00760,10
ME,00024,10
UT,00045,308
SK,00140,3
NE,00925,8
AL,00408,92
WI,00180,81
OH,00298,49
WY,02003,39
IL,00883,51
OH,00045,74
WI,00995,36
MA,00760,4
NY,01004,21
RI,00133,277
NH,00001,43
TX,00488,1665
KY,00001,93
IN,00250,30
WI,00785,4
SD,00050,88
ID,00126,22
WY,02039,30
KS,00250,3
MN,02400,5
MN,00883,88
CO,00950,16
PR,00078,19
AL,00943,58
FL,00187,364
IL,00056,226
OK,00126,14
CO,00195,179
SC,00780,11
NY,02062,12
AR,00073,13
NC,04100,14
NY,00245,172
NC,00001,83
WA,00102,801
ID,00530,60
MD,00199,107
GA,00850,727
OR,00881,50
MA,00017,200
UT,00408,349
GA,00072,252
ME,02039,33
ID,00467,83
SD,00785,20
TX,00785,50
SC,00031,223
AK,00060,76
NH,00003,183
KY,00616,8
ID,00875,66
CO,00720,50
MS,00243,20
ID,02056,3
MI,00298,146
MN,00126,203
ID,00381,8
MO,02492,13
SD,00024,58
CO,00138,461
WV,00467,9
MO,00188,55
CA,00616,465
KS,00942,33
MD,02435,4
CA,00044,617
WI,04000,9
MT,00943,72
IN,00942,124
NY,00379,340
SD,00811,17
ND,00460,17
ME,00520,6
IA,09001,25
NY,00058,511
MT,02493,22
NM,02492,12
AZ,02488,118
KS,02492,66
MA,01488,12
KY,00126,4
FL,00940,634
GA,00150,45
KY,00403,18
IL,00115,253
AL,00486,12
AR,00725,8
PA,00785,145
OK,00080,18
AR,00056,79
PA,00811,212
ND,00018,16
PA,00197,100
KS,00720,3
VA,00875,133
ON,00486,3
KS,00941,171
IN,00941,169
NM,00941,31
FL,00404,1532
UT,00061,840
AZ,00044,102
NY,00360,26
GA,00012,494
IN,00617,18
UT,00925,15
NJ,00050,171
NV,00070,58
MI,00062,395
MS,01004,3
LA,01488,8
OR,02039,12
OK,02488,11
WI,00131,44
NJ,00056,204
MI,01003,187
LA,00024,4
PA,00619,139
NM,00200,45
AR,00006,12
NJ,01488,14
OH,02080,17
NH,00360,6
IN,00494,92
NH,00870,20
FL,02491,148
KY,02039,9
ID,00845,27
MN,00032,216
CT,00660,17
MO,00003,237
OR,00012,126
UT,02488,80
NE,00012,58
OH,00379,136
AZ,00403,204
MT,00486,45
KS,00003,163
LA,00050,35
MA,00720,8
NH,00350,7
ND,02494,9
UT,02481,4
TN,00225,6
TX,00131,693
AR,00400,10
BC,00520,7
MA,00450,191
AL,00032,111
VA,00530,11
ON,00854,17
MN,02102,237
KS,00930,3
CO,00131,274
WI,00077,5
FL,00765,17
NV,00188,75
MO,00005,132
KS,00129,119
OH,02061,17
NE,02493,9
CA,02488,894
MT,00072,36
WY,00041,33
NM,00427,50
NJ,02070,7
TN,02022,29
GA,02001,33
TN,00114,4
OH,00916,20
CA,00845,184
AK,00481,4
TX,02735,3
NM,00725,18
OH,00002,341
ND,00850,104
PR,02012,10
MI,02725,7
WI,00138,108
SC,00060,75
GA,00942,344
AL,00865,5
WY,00427,59
ME,00488,24
AZ,02400,5
NE,00851,65
WY,00403,79
AB,00260,4
SC,00492,144
NY,00180,368
DE,00508,3
NH,00058,52
MI,00910,9
QL,00610,3
IA,00520,44
MD,02060,6
WI,00492,485
VA,01003,61
WY,00111,35
MD,02488,17
GA,00014,483
WA,00910,3
CO,02004,338
AB,00056,7
PA,00488,2485
TX,02493,460
BC,00508,9
CA,02482,94
PA,01435,96
NE,00050,43
GA,00131,229
MN,00062,174
CO,00943,282
CO,00270,93
VT,00039,14
WA,00048,294
MN,00510,122
OH,02102,73
SD,00942,17
UT,00580,10
NV,00403,108
KY,01003,6
MB,00940,7
CO,00187,697
VA,00406,354
AZ,00243,75
NM,00811,10
WY,00024,40
CA,01005,75
CO,02077,19
AL,00004,257
ND,00115,127
MO,02039,27
FL,00493,1781
NY,00032,746
OR,00965,16
IN,00404,231
LA,00850,45
WI,00780,12
WI,00940,147
NH,00616,4
CO,00871,70
VA,00150,10
UT,00997,4
ME,00821,4
WA,01004,41
ON,00364,5
NY,01488,20
WY,00530,34
KS,02039,9
ID,02482,4
TX,00425,182
MO,00132,35
FL,00883,196
IN,00403,57
MO,00483,105
MO,02060,22
PA,00433,1345
HI,00433,44
PA,00071,42
KS,00403,25
LA,02102,7
BC,00048,5
WI,00080,176
IA,00785,7
